date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,event_source_types,external_event_count,generated_event_count,has_external_text,keywords,amount,amplitude_pct,change_pct,change,turnover_pct
2024-04-16,002475.SZ,26.891,27.021,26.051,26.191,26.191,795446.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-17,002475.SZ,26.311,26.701,26.191,26.621,26.621,635635.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-18,002475.SZ,26.421,26.701,25.871,26.391,26.391,700812.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-19,002475.SZ,26.141,26.161,25.441,25.731,25.731,669953.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-20,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-21,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-22,002475.SZ,25.441,26.701,25.261,26.591,26.591,737068.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-23,002475.SZ,26.361,27.131,26.361,26.931,26.931,604693.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-24,002475.SZ,27.031,27.401,26.541,27.011,27.011,784690.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-25,002475.SZ,27.481,28.561,27.481,27.881,27.881,1231137.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-26,002475.SZ,27.881,28.431,27.741,28.131,28.131,830635.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-27,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-28,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-29,002475.SZ,28.551,29.501,28.391,29.171,29.171,1210446.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-04-30,002475.SZ,29.101,29.291,28.481,28.541,28.541,637600.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-01,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-02,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-03,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-04,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-05,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-06,002475.SZ,29.641,30.511,29.641,30.331,30.331,1415807.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-07,002475.SZ,30.031,30.601,29.901,30.201,30.201,581368.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-08,002475.SZ,29.841,29.841,28.921,28.941,28.941,795330.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-09,002475.SZ,28.951,29.541,28.951,29.161,29.161,494090.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-10,002475.SZ,29.191,29.301,28.511,28.841,28.841,514899.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-11,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-12,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-13,002475.SZ,28.731,30.291,28.641,29.921,29.921,873210.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-14,002475.SZ,31.291,31.541,30.351,30.421,30.421,1074025.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-15,002475.SZ,30.341,30.631,29.941,30.001,30.001,419071.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
