episode,date,action,reward,position,cash,portfolio_value,price,experiment
1,2024-12-30,Hold,0.0,0.0,100000.0,100000.0,13.335,dqn_without_nlp
1,2024-12-31,Hold,0.0,0.0,100000.0,100000.0,13.015,dqn_without_nlp
1,2025-01-02,Hold,0.0,0.0,100000.0,100000.0,12.625,dqn_without_nlp
1,2025-01-03,Hold,0.0,0.0,100000.0,100000.0,12.405,dqn_without_nlp
1,2025-01-06,Buy,-99.89683499999228,8079.0,3.268165000001318,99900.10316500001,12.365,dqn_without_nlp
1,2025-01-07,Hold,1131.0599999999977,8079.0,3.268165000001318,101031.163165,12.505,dqn_without_nlp
1,2025-01-08,Sell,-1553.7936750000226,0.0,99477.36948999998,99477.36948999998,12.325,dqn_without_nlp
1,2025-01-09,Hold,0.0,0.0,99477.36948999998,99477.36948999998,12.325,dqn_without_nlp
1,2025-01-10,Hold,0.0,0.0,99477.36948999998,99477.36948999998,12.065,dqn_without_nlp
1,2025-01-13,Hold,0.0,0.0,99477.36948999998,99477.36948999998,12.055,dqn_without_nlp
1,2025-01-14,Hold,0.0,0.0,99477.36948999998,99477.36948999998,12.485,dqn_without_nlp
1,2025-01-15,Buy,-99.36973499998567,8069.0,8.264754999996512,99377.999755,12.315,dqn_without_nlp
1,2025-01-16,Hold,1694.4900000000052,8069.0,8.264754999996512,101072.489755,12.525,dqn_without_nlp
1,2025-01-17,Sell,-907.1573249999929,0.0,100165.33243000001,100165.33243000001,12.425,dqn_without_nlp
1,2025-01-20,Hold,0.0,0.0,100165.33243000001,100165.33243000001,12.445,dqn_without_nlp
1,2025-01-21,Hold,0.0,0.0,100165.33243000001,100165.33243000001,12.375,dqn_without_nlp
1,2025-01-22,Hold,0.0,0.0,100165.33243000001,100165.33243000001,12.265,dqn_without_nlp
1,2025-01-23,Buy,-100.06321999998181,8212.0,2.0492100000265054,100065.26921000003,12.185,dqn_without_nlp
1,2025-01-24,Hold,574.8400000000111,8212.0,2.0492100000265054,100640.10921000004,12.255,dqn_without_nlp
1,2025-01-27,Sell,-510.8274600000004,0.0,100129.28175000004,100129.28175000004,12.205,dqn_without_nlp
1,2025-02-05,Buy,-100.0191899999918,8102.0,10.072560000044177,100029.26256000005,12.345,dqn_without_nlp
1,2025-02-06,Sell,3704.1128699999826,0.0,103733.37543000003,103733.37543000003,12.815,dqn_without_nlp
1,2025-02-07,Hold,0.0,0.0,103733.37543000003,103733.37543000003,13.195,dqn_without_nlp
1,2025-02-10,Hold,0.0,0.0,103733.37543000003,103733.37543000003,13.835,dqn_without_nlp
1,2025-02-11,Hold,0.0,0.0,103733.37543000003,103733.37543000003,13.335,dqn_without_nlp
1,2025-02-12,Hold,0.0,0.0,103733.37543000003,103733.37543000003,13.355,dqn_without_nlp
1,2025-02-13,Buy,-103.62123499998415,7907.0,8.51919500004442,103629.75419500005,13.105,dqn_without_nlp
1,2025-02-14,Hold,1265.12000000001,7907.0,8.51919500004442,104894.87419500005,13.265,dqn_without_nlp
1,2025-02-17,Hold,-632.5600000000122,7907.0,8.51919500004442,104262.31419500004,13.185,dqn_without_nlp
1,2025-02-18,Sell,-2315.9998350000096,0.0,101946.31436000003,101946.31436000003,12.905,dqn_without_nlp
1,2025-02-19,Hold,0.0,0.0,101946.31436000003,101946.31436000003,12.995,dqn_without_nlp
1,2025-02-20,Hold,0.0,0.0,101946.31436000003,101946.31436000003,12.935,dqn_without_nlp
1,2025-02-21,Buy,-101.84077499998966,7849.0,3.6985850000492064,101844.47358500004,12.975,dqn_without_nlp
1,2025-02-24,Hold,78.49000000000524,7849.0,3.6985850000492064,101922.96358500005,12.985,dqn_without_nlp
1,2025-02-25,Hold,784.9000000000087,7849.0,3.6985850000492064,102707.86358500006,13.085,dqn_without_nlp
1,2025-02-26,Hold,-313.9600000000064,7849.0,3.6985850000492064,102393.90358500005,13.045,dqn_without_nlp
1,2025-02-27,Sell,-259.2132249999995,0.0,102134.69036000005,102134.69036000005,13.025,dqn_without_nlp
1,2025-02-28,Hold,0.0,0.0,102134.69036000005,102134.69036000005,12.575,dqn_without_nlp
1,2025-03-03,Hold,0.0,0.0,102134.69036000005,102134.69036000005,12.655,dqn_without_nlp
1,2025-03-04,Hold,0.0,0.0,102134.69036000005,102134.69036000005,12.655,dqn_without_nlp
1,2025-03-05,Buy,-102.02262499998324,8081.0,10.042735000068205,102032.66773500007,12.625,dqn_without_nlp
1,2025-03-06,Hold,1212.1500000000087,8081.0,10.042735000068205,103244.81773500008,12.775,dqn_without_nlp
1,2025-03-07,Hold,-484.86000000001513,8081.0,10.042735000068205,102759.95773500006,12.715,dqn_without_nlp
1,2025-03-10,Hold,-323.2399999999907,8081.0,10.042735000068205,102436.71773500007,12.675,dqn_without_nlp
1,2025-03-11,Sell,-263.8850550000061,0.0,102172.83268000007,102172.83268000007,12.655,dqn_without_nlp
1,2025-03-12,Buy,-102.06865499999549,7971.0,2.1090250000706874,102070.76402500007,12.805,dqn_without_nlp
1,2025-03-13,Sell,-1455.783585000012,0.0,100614.98044000006,100614.98044000006,12.635,dqn_without_nlp
1,2025-03-14,Hold,0.0,0.0,100614.98044000006,100614.98044000006,12.805,dqn_without_nlp
1,2025-03-17,Buy,-100.5064449999918,7849.0,8.028995000073337,100514.47399500007,12.805,dqn_without_nlp
1,2025-03-18,Hold,1098.8600000000151,7849.0,8.028995000073337,101613.33399500008,12.945,dqn_without_nlp
1,2025-03-19,Sell,-1120.9549350000161,0.0,100492.37906000006,100492.37906000006,12.815,dqn_without_nlp
1,2025-03-20,Hold,0.0,0.0,100492.37906000006,100492.37906000006,12.765,dqn_without_nlp
1,2025-03-21,Hold,0.0,0.0,100492.37906000006,100492.37906000006,12.565,dqn_without_nlp
1,2025-03-24,Hold,0.0,0.0,100492.37906000006,100492.37906000006,12.555,dqn_without_nlp
1,2025-03-25,Hold,0.0,0.0,100492.37906000006,100492.37906000006,12.525,dqn_without_nlp
1,2025-03-26,Buy,-100.39054499998747,7977.0,1.443515000064508,100391.98851500008,12.585,dqn_without_nlp
1,2025-03-27,Hold,-239.31000000001222,7977.0,1.443515000064508,100152.67851500007,12.555,dqn_without_nlp
1,2025-03-28,Hold,159.5399999999936,7977.0,1.443515000064508,100312.21851500006,12.575,dqn_without_nlp
1,2025-03-31,Hold,877.4700000000157,7977.0,1.443515000064508,101189.68851500007,12.685,dqn_without_nlp
1,2025-04-01,Hold,79.76999999998952,7977.0,1.443515000064508,101269.45851500006,12.695,dqn_without_nlp
1,2025-04-02,Sell,-659.0996250000026,0.0,100610.35889000006,100610.35889000006,12.625,dqn_without_nlp
1,2025-04-03,Hold,0.0,0.0,100610.35889000006,100610.35889000006,12.535,dqn_without_nlp
1,2025-04-07,Hold,0.0,0.0,100610.35889000006,100610.35889000006,11.245,dqn_without_nlp
1,2025-04-08,Hold,0.0,0.0,100610.35889000006,100610.35889000006,11.395,dqn_without_nlp
1,2025-04-09,Hold,0.0,0.0,100610.35889000006,100610.35889000006,11.575,dqn_without_nlp
1,2025-04-10,Hold,0.0,0.0,100610.35889000006,100610.35889000006,11.855,dqn_without_nlp
1,2025-04-11,Hold,0.0,0.0,100610.35889000006,100610.35889000006,11.965,dqn_without_nlp
1,2025-04-14,Buy,-100.49828999998863,8214.0,11.57060000007914,100509.86060000007,12.235,dqn_without_nlp
1,2025-04-15,Hold,-985.679999999993,8214.0,11.57060000007914,99524.18060000008,12.115,dqn_without_nlp
1,2025-04-16,Sell,-17.454750000004424,0.0,99506.72585000008,99506.72585000008,12.125,dqn_without_nlp
1,2025-04-17,Buy,-99.39864999998827,8266.0,8.677200000078301,99407.32720000009,12.025,dqn_without_nlp
1,2025-04-18,Hold,0.0,8266.0,8.677200000078301,99407.32720000009,12.025,dqn_without_nlp
1,2025-04-21,Hold,165.31999999999243,8266.0,8.677200000078301,99572.64720000008,12.045,dqn_without_nlp
1,2025-04-22,Sell,-182.14131000000634,0.0,99390.50589000007,99390.50589000007,12.035,dqn_without_nlp
1,2025-04-23,Buy,-99.28064999998605,8222.0,10.57524000009289,99291.22524000009,12.075,dqn_without_nlp
1,2025-04-24,Sell,-1084.9340099999972,0.0,98206.29123000009,98206.29123000009,11.955,dqn_without_nlp
1,2025-04-25,Buy,-98.10485999999219,8172.0,3.3263700000970857,98108.1863700001,12.005,dqn_without_nlp
1,2025-04-28,Hold,-1389.2399999999907,8172.0,3.3263700000970857,96718.9463700001,11.835,dqn_without_nlp
1,2025-04-29,Sell,-913.0984200000094,0.0,95805.8479500001,95805.8479500001,11.735,dqn_without_nlp
1,2025-04-30,Hold,0.0,0.0,95805.8479500001,95805.8479500001,11.905,dqn_without_nlp
1,2025-05-06,Hold,0.0,0.0,95805.8479500001,95805.8479500001,12.045,dqn_without_nlp
1,2025-05-07,Hold,0.0,0.0,95805.8479500001,95805.8479500001,12.065,dqn_without_nlp
1,2025-05-08,Hold,0.0,0.0,95805.8479500001,95805.8479500001,12.095,dqn_without_nlp
1,2025-05-09,Buy,-95.70810499998333,7979.0,2.0348450001183664,95710.13984500011,11.995,dqn_without_nlp
1,2025-05-12,Hold,957.4800000000105,7979.0,2.0348450001183664,96667.61984500012,12.115,dqn_without_nlp
1,2025-05-13,Hold,-159.58000000000175,7979.0,2.0348450001183664,96508.03984500012,12.095,dqn_without_nlp
1,2025-05-14,Hold,79.7899999999936,7979.0,2.0348450001183664,96587.82984500012,12.105,dqn_without_nlp
1,2025-05-15,Sell,-1690.7899949999992,0.0,94897.03985000012,94897.03985000012,11.905,dqn_without_nlp
1,2025-05-16,Hold,0.0,0.0,94897.03985000012,94897.03985000012,12.025,dqn_without_nlp
1,2025-05-19,Hold,0.0,0.0,94897.03985000012,94897.03985000012,12.025,dqn_without_nlp
1,2025-05-20,Hold,0.0,0.0,94897.03985000012,94897.03985000012,12.245,dqn_without_nlp
1,2025-05-21,Hold,0.0,0.0,94897.03985000012,94897.03985000012,12.205,dqn_without_nlp
1,2025-05-22,Hold,0.0,0.0,94897.03985000012,94897.03985000012,12.355,dqn_without_nlp
1,2025-05-23,Buy,-94.79632499998843,7605.0,5.918525000131922,94802.24352500013,12.465,dqn_without_nlp
1,2025-05-26,Sell,-2601.93667499999,0.0,92200.30685000014,92200.30685000014,12.135,dqn_without_nlp
1,2025-05-27,Hold,0.0,0.0,92200.30685000014,92200.30685000014,12.005,dqn_without_nlp
1,2025-05-28,Hold,0.0,0.0,92200.30685000014,92200.30685000014,11.955,dqn_without_nlp
1,2025-05-29,Buy,-92.10641499998746,7559.0,1.7854350001434796,92108.20043500015,12.185,dqn_without_nlp
1,2025-05-30,Hold,-1360.6199999999953,7559.0,1.7854350001434796,90747.58043500016,12.005,dqn_without_nlp
1,2025-06-03,Sell,1721.6000449999701,0.0,92469.18048000013,92469.18048000013,12.245,dqn_without_nlp
1,2025-06-04,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.215,dqn_without_nlp
1,2025-06-05,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.635,dqn_without_nlp
1,2025-06-06,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.495,dqn_without_nlp
1,2025-06-09,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.695,dqn_without_nlp
1,2025-06-10,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.455,dqn_without_nlp
1,2025-06-11,Hold,0.0,0.0,92469.18048000013,92469.18048000013,12.495,dqn_without_nlp
1,2025-06-12,Buy,-92.36531499998819,7351.0,11.500165000135894,92376.81516500014,12.565,dqn_without_nlp
1,2025-06-13,Sell,54.50766499999736,0.0,92431.32283000014,92431.32283000014,12.585,dqn_without_nlp
1,2025-06-16,Hold,0.0,0.0,92431.32283000014,92431.32283000014,12.395,dqn_without_nlp
1,2025-06-17,Hold,0.0,0.0,92431.32283000014,92431.32283000014,12.275,dqn_without_nlp
1,2025-06-18,Buy,-92.33542499998293,7553.0,3.562405000149738,92338.98740500015,12.225,dqn_without_nlp
1,2025-06-19,Hold,-1132.9500000000116,7553.0,3.562405000149738,91206.03740500014,12.075,dqn_without_nlp
1,2025-06-20,Hold,-151.05999999999767,7553.0,3.562405000149738,91054.97740500014,12.055,dqn_without_nlp
1,2025-06-23,Sell,210.76646500000788,0.0,91265.74387000015,91265.74387000015,12.095,dqn_without_nlp
1,2025-06-24,Buy,-91.16574499999115,7433.0,8.833125000150176,91174.57812500016,12.265,dqn_without_nlp
1,2025-06-25,Sell,1319.691984999983,0.0,92494.27011000014,92494.27011000014,12.455,dqn_without_nlp
1,2025-06-26,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.405,dqn_without_nlp
1,2025-06-27,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.355,dqn_without_nlp
1,2025-06-30,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.415,dqn_without_nlp
1,2025-07-01,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.395,dqn_without_nlp
1,2025-07-02,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.365,dqn_without_nlp
1,2025-07-03,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.375,dqn_without_nlp
1,2025-07-04,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.285,dqn_without_nlp
1,2025-07-07,Hold,0.0,0.0,92494.27011000014,92494.27011000014,12.245,dqn_without_nlp
1,2025-07-08,Buy,-92.39127999999619,7472.0,10.598830000148155,92401.87883000015,12.365,dqn_without_nlp
1,2025-07-09,Sell,280.8351199999888,0.0,92682.71395000014,92682.71395000014,12.415,dqn_without_nlp
1,2025-07-10,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.395,dqn_without_nlp
1,2025-07-11,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.435,dqn_without_nlp
1,2025-07-14,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.395,dqn_without_nlp
1,2025-07-15,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.375,dqn_without_nlp
1,2025-07-16,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.455,dqn_without_nlp
1,2025-07-17,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.495,dqn_without_nlp
1,2025-07-18,Hold,0.0,0.0,92682.71395000014,92682.71395000014,12.505,dqn_without_nlp
1,2025-07-21,Buy,-92.58927999998559,7328.0,0.8446700001513818,92590.12467000015,12.635,dqn_without_nlp
1,2025-07-22,Sell,127.03087999999116,0.0,92717.15555000014,92717.15555000014,12.665,dqn_without_nlp
1,2025-07-23,Hold,0.0,0.0,92717.15555000014,92717.15555000014,12.6,dqn_without_nlp
1,2025-07-24,Hold,0.0,0.0,92717.15555000014,92717.15555000014,12.79,dqn_without_nlp
1,2025-07-25,Hold,0.0,0.0,92717.15555000014,92717.15555000014,12.9,dqn_without_nlp
1,2025-07-28,Hold,0.0,0.0,92717.15555000014,92717.15555000014,13.32,dqn_without_nlp
1,2025-07-29,Hold,0.0,0.0,92717.15555000014,92717.15555000014,13.22,dqn_without_nlp
1,2025-07-30,Buy,-92.61143999999331,7032.0,13.104110000145738,92624.54411000015,13.17,dqn_without_nlp
1,2025-07-31,Sell,-2621.599920000008,0.0,90002.94419000014,90002.94419000014,12.81,dqn_without_nlp
1,2025-08-01,Hold,0.0,0.0,90002.94419000014,90002.94419000014,12.77,dqn_without_nlp
1,2025-08-04,Hold,0.0,0.0,90002.94419000014,90002.94419000014,12.86,dqn_without_nlp
1,2025-08-05,Hold,0.0,0.0,90002.94419000014,90002.94419000014,12.87,dqn_without_nlp
1,2025-08-06,Buy,-89.9042599999957,6991.0,8.779930000149761,89913.03993000014,12.86,dqn_without_nlp
1,2025-08-07,Sell,-369.26462000000174,0.0,89543.77531000014,89543.77531000014,12.82,dqn_without_nlp
1,2025-08-08,Hold,0.0,0.0,89543.77531000014,89543.77531000014,12.74,dqn_without_nlp
1,2025-08-11,Hold,0.0,0.0,89543.77531000014,89543.77531000014,12.9,dqn_without_nlp
1,2025-08-12,Buy,-89.45299999999406,6881.0,1.3223100001487182,89454.32231000015,13.0,dqn_without_nlp
1,2025-08-13,Sell,-226.93537999999535,0.0,89227.38693000015,89227.38693000015,12.98,dqn_without_nlp
1,2025-08-14,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.83,dqn_without_nlp
1,2025-08-15,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.88,dqn_without_nlp
1,2025-08-18,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.0,dqn_without_nlp
1,2025-08-19,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.92,dqn_without_nlp
1,2025-08-20,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.14,dqn_without_nlp
1,2025-08-21,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.05,dqn_without_nlp
1,2025-08-22,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.13,dqn_without_nlp
1,2025-08-25,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.05,dqn_without_nlp
1,2025-08-26,Hold,0.0,0.0,89227.38693000015,89227.38693000015,13.04,dqn_without_nlp
1,2025-08-27,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.7,dqn_without_nlp
1,2025-08-28,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.65,dqn_without_nlp
1,2025-08-29,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.52,dqn_without_nlp
1,2025-09-01,Hold,0.0,0.0,89227.38693000015,89227.38693000015,12.41,dqn_without_nlp
1,2025-09-02,Buy,-89.13599999998405,7200.0,2.250930000169319,89138.25093000017,12.38,dqn_without_nlp
1,2025-09-03,Sell,-880.3439999999973,0.0,88257.90693000017,88257.90693000017,12.27,dqn_without_nlp
1,2025-09-04,Hold,0.0,0.0,88257.90693000017,88257.90693000017,12.29,dqn_without_nlp
1,2025-09-05,Hold,0.0,0.0,88257.90693000017,88257.90693000017,12.41,dqn_without_nlp
1,2025-09-08,Hold,0.0,0.0,88257.90693000017,88257.90693000017,12.36,dqn_without_nlp
1,2025-09-09,Hold,0.0,0.0,88257.90693000017,88257.90693000017,12.53,dqn_without_nlp
1,2025-09-10,Hold,0.0,0.0,88257.90693000017,88257.90693000017,12.57,dqn_without_nlp
1,2025-09-11,Buy,-88.16583999998693,7042.0,3.9010900001885602,88169.74109000019,12.52,dqn_without_nlp
1,2025-09-12,Sell,-932.3607999999949,0.0,87237.38029000019,87237.38029000019,12.4,dqn_without_nlp
1,2025-09-15,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.48,dqn_without_nlp
1,2025-09-16,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.4,dqn_without_nlp
1,2025-09-17,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.39,dqn_without_nlp
1,2025-09-18,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.25,dqn_without_nlp
1,2025-09-19,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.2,dqn_without_nlp
1,2025-09-22,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.14,dqn_without_nlp
1,2025-09-23,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.06,dqn_without_nlp
1,2025-09-24,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.12,dqn_without_nlp
1,2025-09-25,Hold,0.0,0.0,87237.38029000019,87237.38029000019,12.03,dqn_without_nlp
1,2025-09-26,Buy,-87.1387499999837,7125.0,11.491540000206442,87150.2415400002,12.23,dqn_without_nlp
1,2025-09-29,Sell,-798.9262500000041,0.0,86351.3152900002,86351.3152900002,12.13,dqn_without_nlp
1,2025-09-30,Buy,-86.25875999999698,7082.0,6.296530000210623,86265.0565300002,12.18,dqn_without_nlp
1,2025-10-09,Sell,550.4838600000076,0.0,86815.54039000021,86815.54039000021,12.27,dqn_without_nlp
1,2025-10-10,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.39,dqn_without_nlp
1,2025-10-13,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.45,dqn_without_nlp
1,2025-10-14,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.49,dqn_without_nlp
1,2025-10-15,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.79,dqn_without_nlp
1,2025-10-16,Hold,0.0,0.0,86815.54039000021,86815.54039000021,13.28,dqn_without_nlp
1,2025-10-17,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.43,dqn_without_nlp
1,2025-10-20,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.33,dqn_without_nlp
1,2025-10-21,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.34,dqn_without_nlp
1,2025-10-22,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.35,dqn_without_nlp
1,2025-10-23,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.33,dqn_without_nlp
1,2025-10-24,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.67,dqn_without_nlp
1,2025-10-27,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.56,dqn_without_nlp
1,2025-10-28,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.46,dqn_without_nlp
1,2025-10-29,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.44,dqn_without_nlp
1,2025-10-30,Hold,0.0,0.0,86815.54039000021,86815.54039000021,12.33,dqn_without_nlp
1,2025-10-31,Buy,-86.72551999999268,7028.0,3.2948700002161786,86728.81487000022,12.34,dqn_without_nlp
1,2025-11-03,Sell,123.90363999998954,0.0,86852.71851000021,86852.71851000021,12.37,dqn_without_nlp
1,2025-11-04,Buy,-86.75711999999476,7088.0,8.84139000021969,86765.96139000022,12.24,dqn_without_nlp
1,2025-11-05,Hold,-70.8799999999901,7088.0,8.84139000021969,86695.08139000022,12.23,dqn_without_nlp
1,2025-11-06,Sell,125.74112000000605,0.0,86820.82251000023,86820.82251000023,12.26,dqn_without_nlp
