date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,keywords,event_source_types,external_event_count,generated_event_count,has_external_text
2020-01-02,000625.SZ,4.432,4.701,4.339,4.663,4.663,663509.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-02 日行情文本摘要,2020-01-02，000625A股交易日行情记录；开盘价4.43；最高价4.7；最低价4.34；收盘价4.66；成交量663509；按开盘价计算当日上涨5.21%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-03,000625.SZ,4.58,4.619,4.481,4.492,4.492,413517.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-03 日行情文本摘要,2020-01-03，000625A股交易日行情记录；开盘价4.58；最高价4.62；最低价4.48；收盘价4.49；成交量413517；按开盘价计算当日下跌1.92%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-04,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-05,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-06,000625.SZ,4.465,4.619,4.416,4.459,4.459,384648.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-06 日行情文本摘要,2020-01-06，000625A股交易日行情记录；开盘价4.46；最高价4.62；最低价4.42；收盘价4.46；成交量384648；按开盘价计算当日下跌0.13%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-07,000625.SZ,4.481,4.707,4.481,4.608,4.608,385306.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-07 日行情文本摘要,2020-01-07，000625A股交易日行情记录；开盘价4.48；最高价4.71；最低价4.48；收盘价4.61；成交量385306；按开盘价计算当日上涨2.83%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-08,000625.SZ,4.586,4.877,4.525,4.756,4.756,517455.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-08 日行情文本摘要,2020-01-08，000625A股交易日行情记录；开盘价4.59；最高价4.88；最低价4.53；收盘价4.76；成交量517455；按开盘价计算当日上涨3.71%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-09,000625.SZ,4.767,4.91,4.723,4.762,4.762,350430.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-09 日行情文本摘要,2020-01-09，000625A股交易日行情记录；开盘价4.77；最高价4.91；最低价4.72；收盘价4.76；成交量350430；按开盘价计算当日下跌0.10%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-10,000625.SZ,4.745,5.003,4.723,4.937,4.937,449765.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-10 日行情文本摘要,2020-01-10，000625A股交易日行情记录；开盘价4.75；最高价5；最低价4.72；收盘价4.94；成交量449765；按开盘价计算当日上涨4.05%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-11,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
