experiment,final_portfolio_value,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,value_at_risk_95,avg_daily_return,best_day_return,worst_day_return,win_rate,number_of_trades,trade_frequency,exposure_ratio,avg_reward,profit_factor
buy_and_hold,52717.391304347824,52717.391304347824,-0.47282608695652173,-0.4008119698024508,0.3329411557765936,-1.3723230245346094,-2.1449708880370877,-0.7679017786840224,-0.5219573400250941,-0.03428571428571425,-0.0018131064043150136,0.10062893081761026,-0.07563025210084029,0.0,1,0.0031645569620253164,1.0,0.0,0.0
dqn_without_nlp,52937.52272000001,52937.52272000001,-0.4706247727999999,-0.39930300088723625,0.33344734093289885,-1.362212491639174,-2.129503994367315,-0.7650307592416055,-0.5219437206460502,-0.03428447502478772,-0.001802484655248656,0.10062454371798935,-0.07562804929287559,0.4031746031746032,1,0.0031746031746031746,1.0,-149.40468977777775,0.7709402432128191
dqn_with_nlp,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
