episode,date,action,reward,position,cash,portfolio_value,price,experiment
200,2024-12-30,Buy,-99.8846399999893,3540.0,15.475360000011278,99900.11536000001,28.216,dqn_without_nlp
200,2024-12-31,Sell,-4117.303200000009,0.0,95782.81216,95782.81216,27.08,dqn_without_nlp
200,2025-01-02,Buy,-95.66279999999097,3600.0,24.349360000007437,95687.14936000001,26.573,dqn_without_nlp
200,2025-01-03,Hold,-5659.199999999997,3600.0,24.349360000007437,90027.94936000001,25.001,dqn_without_nlp
200,2025-01-06,Hold,-1000.8000000000029,3600.0,24.349360000007437,89027.14936000001,24.723,dqn_without_nlp
200,2025-01-07,Hold,3729.5999999999913,3600.0,24.349360000007437,92756.74936,25.759,dqn_without_nlp
200,2025-01-08,Hold,-1724.3999999999942,3600.0,24.349360000007437,91032.34936000001,25.28,dqn_without_nlp
200,2025-01-09,Hold,1594.800000000003,3600.0,24.349360000007437,92627.14936000001,25.723,dqn_without_nlp
200,2025-01-10,Hold,-2779.199999999997,3600.0,24.349360000007437,89847.94936000001,24.951,dqn_without_nlp
200,2025-01-13,Hold,1080.0,3600.0,24.349360000007437,90927.94936000001,25.251,dqn_without_nlp
200,2025-01-14,Hold,3114.0,3600.0,24.349360000007437,94041.94936000001,26.116,dqn_without_nlp
200,2025-01-15,Hold,-1285.2000000000116,3600.0,24.349360000007437,92756.74936,25.759,dqn_without_nlp
200,2025-01-16,Hold,590.3999999999942,3600.0,24.349360000007437,93347.14936,25.923,dqn_without_nlp
200,2025-01-17,Hold,-1159.199999999997,3600.0,24.349360000007437,92187.94936,25.601,dqn_without_nlp
200,2025-01-20,Hold,1108.800000000003,3600.0,24.349360000007437,93296.74936,25.909,dqn_without_nlp
200,2025-01-21,Hold,-489.59999999999127,3600.0,24.349360000007437,92807.14936000001,25.773,dqn_without_nlp
200,2025-01-22,Hold,-1800.0,3600.0,24.349360000007437,91007.14936000001,25.273,dqn_without_nlp
200,2025-01-23,Sell,-1040.4324000000051,0.0,89966.71696,89966.71696,25.009,dqn_without_nlp
200,2025-01-24,Buy,-89.867161999995,3526.0,9.687798000013572,89876.84979800001,25.487,dqn_without_nlp
200,2025-01-27,Hold,-2595.1359999999986,3526.0,9.687798000013572,87281.71379800001,24.751,dqn_without_nlp
200,2025-02-05,Hold,2394.153999999995,3526.0,9.687798000013572,89675.867798,25.43,dqn_without_nlp
200,2025-02-06,Hold,2894.846000000005,3526.0,9.687798000013572,92570.71379800001,26.251,dqn_without_nlp
200,2025-02-07,Hold,2468.199999999997,3526.0,9.687798000013572,95038.91379800001,26.951,dqn_without_nlp
200,2025-02-10,Hold,983.7540000000008,3526.0,9.687798000013572,96022.66779800001,27.23,dqn_without_nlp
200,2025-02-11,Hold,-74.0460000000021,3526.0,9.687798000013572,95948.62179800001,27.209,dqn_without_nlp
200,2025-02-12,Hold,-151.61799999998766,3526.0,9.687798000013572,95797.00379800002,27.166,dqn_without_nlp
200,2025-02-13,Hold,-1840.5720000000147,3526.0,9.687798000013572,93956.431798,26.644,dqn_without_nlp
200,2025-02-14,Hold,3300.3359999999957,3526.0,9.687798000013572,97256.767798,27.58,dqn_without_nlp
200,2025-02-17,Hold,-832.135999999984,3526.0,9.687798000013572,96424.63179800002,27.344,dqn_without_nlp
200,2025-02-18,Hold,-1963.9820000000036,3526.0,9.687798000013572,94460.64979800001,26.787,dqn_without_nlp
200,2025-02-19,Sell,2801.0226660000044,0.0,97261.67246400002,97261.67246400002,27.609,dqn_without_nlp
200,2025-02-20,Buy,-97.16016499999387,3415.0,4.347299000015482,97164.51229900002,28.451,dqn_without_nlp
200,2025-02-21,Hold,-242.46500000001106,3415.0,4.347299000015482,96922.04729900001,28.38,dqn_without_nlp
200,2025-02-24,Hold,976.6900000000023,3415.0,4.347299000015482,97898.73729900001,28.666,dqn_without_nlp
200,2025-02-25,Hold,-1219.1549999999988,3415.0,4.347299000015482,96679.58229900002,28.309,dqn_without_nlp
200,2025-02-26,Hold,2950.5599999999977,3415.0,4.347299000015482,99630.14229900001,29.173,dqn_without_nlp
200,2025-02-27,Hold,2414.404999999999,3415.0,4.347299000015482,102044.54729900001,29.88,dqn_without_nlp
200,2025-02-28,Hold,-3998.9649999999965,3415.0,4.347299000015482,98045.58229900002,28.709,dqn_without_nlp
200,2025-03-03,Hold,1680.1800000000076,3415.0,4.347299000015482,99725.76229900002,29.201,dqn_without_nlp
200,2025-03-04,Hold,-1048.4050000000134,3415.0,4.347299000015482,98677.35729900001,28.894,dqn_without_nlp
200,2025-03-05,Hold,2783.225000000006,3415.0,4.347299000015482,101460.58229900002,29.709,dqn_without_nlp
200,2025-03-06,Hold,20291.930000000008,3415.0,4.347299000015482,121752.51229900002,35.651,dqn_without_nlp
200,2025-03-07,Hold,2708.095000000001,3415.0,4.347299000015482,124460.60729900002,36.444,dqn_without_nlp
200,2025-03-10,Hold,-9879.595000000001,3415.0,4.347299000015482,114581.01229900002,33.551,dqn_without_nlp
200,2025-03-11,Hold,-2144.6199999999953,3415.0,4.347299000015482,112436.39229900003,32.923,dqn_without_nlp
200,2025-03-12,Hold,5610.845000000001,3415.0,4.347299000015482,118047.23729900003,34.566,dqn_without_nlp
200,2025-03-13,Hold,-5880.630000000005,3415.0,4.347299000015482,112166.60729900002,32.844,dqn_without_nlp
200,2025-03-14,Hold,-461.0249999999942,3415.0,4.347299000015482,111705.58229900003,32.709,dqn_without_nlp
200,2025-03-17,Hold,949.3699999999953,3415.0,4.347299000015482,112654.95229900003,32.987,dqn_without_nlp
200,2025-03-18,Hold,22539.0,3415.0,4.347299000015482,135193.95229900003,39.587,dqn_without_nlp
200,2025-03-19,Hold,-8073.060000000012,3415.0,4.347299000015482,127120.89229900001,37.223,dqn_without_nlp
200,2025-03-20,Hold,-3927.25,3415.0,4.347299000015482,123193.64229900001,36.073,dqn_without_nlp
200,2025-03-21,Hold,-1000.5950000000012,3415.0,4.347299000015482,122193.04729900001,35.78,dqn_without_nlp
200,2025-03-24,Sell,-4946.169890000005,0.0,117246.87740900001,117246.87740900001,34.366,dqn_without_nlp
200,2025-03-25,Buy,-117.12087199998496,3208.0,8.884537000019918,117129.75653700002,36.509,dqn_without_nlp
