date,portfolio_value,experiment
2024-12-30,100000.0,buy_and_hold
2024-12-31,95973.9155089311,buy_and_hold
2025-01-02,94177.06265948397,buy_and_hold
2025-01-03,88605.75559965977,buy_and_hold
2025-01-06,87620.49900765522,buy_and_hold
2025-01-07,91292.17465267933,buy_and_hold
2025-01-08,89594.55628012474,buy_and_hold
2025-01-09,91164.58746810319,buy_and_hold
2025-01-10,88428.55117663737,buy_and_hold
2025-01-13,89491.77771477176,buy_and_hold
2025-01-14,92557.41423305924,buy_and_hold
2025-01-15,91292.17465267933,buy_and_hold
2025-01-16,91873.40516019278,buy_and_hold
2025-01-17,90732.20867592854,buy_and_hold
2025-01-20,91823.78792174651,buy_and_hold
2025-01-21,91341.7918911256,buy_and_hold
2025-01-22,89569.7476609016,buy_and_hold
2025-01-23,88634.10830734334,buy_and_hold
2025-01-24,90328.18259143746,buy_and_hold
2025-01-27,87719.73348454777,buy_and_hold
2025-02-05,90126.16954919194,buy_and_hold
2025-02-06,93035.86617521974,buy_and_hold
2025-02-07,95516.72809753331,buy_and_hold
2025-02-10,96505.52877799829,buy_and_hold
2025-02-11,96431.10292032888,buy_and_hold
2025-02-12,96278.70711652962,buy_and_hold
2025-02-13,94428.69294017577,buy_and_hold
2025-02-14,97745.95973915508,buy_and_hold
2025-02-17,96909.55486248936,buy_and_hold
2025-02-18,94935.49759001983,buy_and_hold
2025-02-19,97848.73830450808,buy_and_hold
2025-02-20,100832.86078820526,buy_and_hold
2025-02-21,100581.23050751345,buy_and_hold
2025-02-24,101594.83980720158,buy_and_hold
2025-02-25,100329.60022682165,buy_and_hold
2025-02-26,103391.6926566487,buy_and_hold
2025-02-27,105897.36319818541,buy_and_hold
2025-02-28,101747.23561100084,buy_and_hold
2025-03-03,103490.92713354125,buy_and_hold
2025-03-04,102402.89197618372,buy_and_hold
2025-03-05,105291.3240714488,buy_and_hold
2025-03-06,126350.29770343068,buy_and_hold
2025-03-07,129160.75985256591,buy_and_hold
2025-03-10,118907.71193648993,buy_and_hold
2025-03-11,116682.02438332861,buy_and_hold
2025-03-12,122504.96172384462,buy_and_hold
2025-03-13,116402.04139495321,buy_and_hold
2025-03-14,115923.58945279274,buy_and_hold
2025-03-17,116908.84604479728,buy_and_hold
2025-03-18,140299.8298837539,buy_and_hold
2025-03-19,131921.60476325487,buy_and_hold
2025-03-20,127845.90303373971,buy_and_hold
2025-03-21,126807.48511482847,buy_and_hold
2025-03-24,121796.14403175502,buy_and_hold
2025-03-25,129391.12560249503,buy_and_hold
2025-03-26,126910.26368018144,buy_and_hold
2025-03-27,125542.24553444854,buy_and_hold
