episode,date,action,reward,position,cash,portfolio_value,price,experiment
200,2024-12-30,Buy,-99.8846399999893,3540.0,15.475360000011278,99900.11536000001,28.216,dqn_with_nlp
200,2024-12-31,Sell,-4117.303200000009,0.0,95782.81216,95782.81216,27.08,dqn_with_nlp
200,2025-01-02,Buy,-95.66279999999097,3600.0,24.349360000007437,95687.14936000001,26.573,dqn_with_nlp
200,2025-01-03,Hold,-5659.199999999997,3600.0,24.349360000007437,90027.94936000001,25.001,dqn_with_nlp
200,2025-01-06,Sell,-1089.802800000005,0.0,88938.14656000001,88938.14656000001,24.723,dqn_with_nlp
200,2025-01-07,Buy,-88.84279099998821,3449.0,6.512769000022672,88849.30376900002,25.759,dqn_with_nlp
200,2025-01-08,Hold,-1652.0709999999963,3449.0,6.512769000022672,87197.23276900002,25.28,dqn_with_nlp
200,2025-01-09,Hold,1527.906999999992,3449.0,6.512769000022672,88725.13976900002,25.723,dqn_with_nlp
200,2025-01-10,Hold,-2662.627999999997,3449.0,6.512769000022672,86062.51176900002,24.951,dqn_with_nlp
200,2025-01-13,Hold,1034.7000000000116,3449.0,6.512769000022672,87097.21176900003,25.251,dqn_with_nlp
200,2025-01-14,Hold,2983.3849999999948,3449.0,6.512769000022672,90080.59676900003,26.116,dqn_with_nlp
200,2025-01-15,Hold,-1231.2930000000051,3449.0,6.512769000022672,88849.30376900002,25.759,dqn_with_nlp
200,2025-01-16,Hold,565.6359999999986,3449.0,6.512769000022672,89414.93976900002,25.923,dqn_with_nlp
200,2025-01-17,Hold,-1110.577999999994,3449.0,6.512769000022672,88304.36176900002,25.601,dqn_with_nlp
200,2025-01-20,Hold,1062.2920000000013,3449.0,6.512769000022672,89366.65376900003,25.909,dqn_with_nlp
200,2025-01-21,Hold,-469.0639999999985,3449.0,6.512769000022672,88897.58976900003,25.773,dqn_with_nlp
200,2025-01-22,Hold,-1724.5,3449.0,6.512769000022672,87173.08976900003,25.273,dqn_with_nlp
200,2025-01-23,Hold,-910.5360000000073,3449.0,6.512769000022672,86262.55376900002,25.009,dqn_with_nlp
200,2025-01-24,Hold,1648.622000000003,3449.0,6.512769000022672,87911.17576900002,25.487,dqn_with_nlp
200,2025-01-27,Hold,-2538.4639999999927,3449.0,6.512769000022672,85372.71176900003,24.751,dqn_with_nlp
200,2025-02-05,Hold,2341.8709999999846,3449.0,6.512769000022672,87714.58276900002,25.43,dqn_with_nlp
200,2025-02-06,Hold,2831.6290000000154,3449.0,6.512769000022672,90546.21176900003,26.251,dqn_with_nlp
200,2025-02-07,Hold,2414.2999999999884,3449.0,6.512769000022672,92960.51176900002,26.951,dqn_with_nlp
