experiment,final_portfolio_value,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,value_at_risk_95,avg_daily_return,best_day_return,worst_day_return,win_rate,number_of_trades,trade_frequency,exposure_ratio,avg_reward,profit_factor
buy_and_hold,196023.53274737738,196023.53274737738,0.9602353274737738,0.7133518957888285,0.5865243281081072,1.2061834394842081,2.0326448455484316,2.0698864984675174,-0.34463333922752437,-0.04057644041613731,0.00280736480721667,0.20007881892866886,-0.20000000000000007,0.0,1,0.0031645569620253164,1.0,0.0,0.0
dqn_without_nlp,184940.95241300037,184940.95241300037,0.8494095241300037,0.639287491112353,0.5491092342125388,1.1709697185621148,1.810084518656817,2.085754987652401,-0.3065017199512471,-0.04048059770907728,0.0025515487517687096,0.2000579337155064,-0.19994725183251916,0.44761904761904764,68,0.21587301587301588,0.8952380952380953,269.6538171841282,1.1916739386244062
dqn_with_nlp,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
