date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,event_source_types,external_event_count,generated_event_count,has_external_text,keywords
2024-12-30,300750.SZ,247.21,253.83,246.84,252.91,252.91,226314.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2024-12-30 日行情文本摘要,2024-12-30，宁德时代A股交易日行情记录；开盘价247.21；最高价253.83；最低价246.84；收盘价252.91；成交量226314；按开盘价计算当日上涨2.31%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2024-12-31,300750.SZ,251.42,256.83,251.42,252.33,252.33,249340.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2024-12-31 日行情文本摘要,2024-12-31，宁德时代A股交易日行情记录；开盘价251.42；最高价256.83；最低价251.42；收盘价252.33；成交量249340；按开盘价计算当日上涨0.36%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-01,300750.SZ,,,,,,,,,,宁德时代,SZSE,CNY,EQUITY,,,,,,0,,,,,,0.0,0.0,0.0,
2025-01-02,300750.SZ,252.58,252.63,243.33,245.11,245.11,233546.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2025-01-02 日行情文本摘要,2025-01-02，宁德时代A股交易日行情记录；开盘价252.58；最高价252.63；最低价243.33；收盘价245.11；成交量233546；按开盘价计算当日下跌2.96%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-03,300750.SZ,245.11,249.33,243.54,243.96,243.96,185238.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2025-01-03 日行情文本摘要,2025-01-03，宁德时代A股交易日行情记录；开盘价245.11；最高价249.33；最低价243.54；收盘价243.96；成交量185238；按开盘价计算当日下跌0.47%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-04,300750.SZ,,,,,,,,,,宁德时代,SZSE,CNY,EQUITY,,,,,,0,,,,,,0.0,0.0,0.0,
2025-01-05,300750.SZ,,,,,,,,,,宁德时代,SZSE,CNY,EQUITY,,,,,,0,,,,,,0.0,0.0,0.0,
2025-01-06,300750.SZ,244.33,246.33,239.33,243.08,243.08,172891.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2025-01-06 日行情文本摘要,2025-01-06，宁德时代A股交易日行情记录；开盘价244.33；最高价246.33；最低价239.33；收盘价243.08；成交量172891；按开盘价计算当日下跌0.51%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-07,300750.SZ,229.33,238.33,227.41,235.78,235.78,401036.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2025-01-07 日行情文本摘要,2025-01-07，宁德时代A股交易日行情记录；开盘价229.33；最高价238.33；最低价227.41；收盘价235.78；成交量401036；按开盘价计算当日上涨2.81%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-08,300750.SZ,232.32,234.64,229.65,231.67,231.67,271858.0,,,tencent,宁德时代,SZSE,CNY,EQUITY,,,,,,1,宁德时代 2025-01-08 日行情文本摘要,2025-01-08，宁德时代A股交易日行情记录；开盘价232.32；最高价234.64；最低价229.65；收盘价231.67；成交量271858；按开盘价计算当日下跌0.28%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0.0,1.0,0.0,宁德时代; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
