date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,event_source_types,external_event_count,generated_event_count,has_external_text,keywords
2024-12-30,000002.SZ,7.5,7.51,7.33,7.36,7.36,1338891.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2024-12-30 日行情文本摘要,2024-12-30，万科AA股交易日行情记录；开盘价7.5；最高价7.51；最低价7.33；收盘价7.36；成交量1338891；按开盘价计算当日下跌1.87%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2024-12-31,000002.SZ,7.38,7.44,7.25,7.26,7.26,1007536.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A:关于为控股子公司财荣有限公司银行保函提供履约保证的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202412301641479919.html,external,1,0,1,万科; 关于为控股子公司财荣有限公司银行保函提供履约保证的公告; 提供; 对外担保公告
2025-01-01,000002.SZ,,,,,,,,,,万科A,SZSE,CNY,EQUITY,,,,,,0,,,,,,0,0,0,
2025-01-02,000002.SZ,7.25,7.36,7.07,7.11,7.11,1182666.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2025-01-02 日行情文本摘要,2025-01-02，万科AA股交易日行情记录；开盘价7.25；最高价7.36；最低价7.07；收盘价7.11；成交量1182666；按开盘价计算当日下跌1.93%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-03,000002.SZ,7.17,7.18,6.96,7.0,7.0,1124915.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2025-01-03 日行情文本摘要,2025-01-03，万科AA股交易日行情记录；开盘价7.17；最高价7.18；最低价6.96；收盘价7；成交量1124915；按开盘价计算当日下跌2.37%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-04,000002.SZ,,,,,,,,,,万科A,SZSE,CNY,EQUITY,,,,,,3,万科A:关于为银行贷款事项提供担保的公告 || 万科A:2024年12月销售及近期新增项目情况简报 || 万科A:关于按照《香港上市规则》公布2024年12月证券变动月报表的公告,提供/对外担保公告 || 月度经营情况 || 其他,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501031641805538.html || https://data.eastmoney.com/notices/detail/000002/AN202501031641805536.html || https://data.eastmoney.com/notices/detail/000002/AN202501031641805527.html,external,3,0,1,万科; 关于为银行贷款事项提供担保的公告; 月销售及近期新增项目情况简报; 关于按照; 香港上市规则; 公布; 月证券变动月报表的公告; 提供; 对外担保公告; 月度经营情况; 其他
2025-01-05,000002.SZ,,,,,,,,,,万科A,SZSE,CNY,EQUITY,,,,,,0,,,,,,0,0,0,
2025-01-06,000002.SZ,6.99,7.01,6.89,6.98,6.98,850857.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2025-01-06 日行情文本摘要,2025-01-06，万科AA股交易日行情记录；开盘价6.99；最高价7.01；最低价6.89；收盘价6.98；成交量850857；按开盘价计算当日下跌0.14%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-07,000002.SZ,6.96,7.05,6.92,7.05,7.05,720471.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2025-01-07 日行情文本摘要,2025-01-07，万科AA股交易日行情记录；开盘价6.96；最高价7.05；最低价6.92；收盘价7.05；成交量720471；按开盘价计算当日上涨1.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充
2025-01-08,000002.SZ,7.02,7.03,6.83,6.96,6.96,912684.0,,,tencent,万科A,SZSE,CNY,EQUITY,,,,,,1,万科A 2025-01-08 日行情文本摘要,2025-01-08，万科AA股交易日行情记录；开盘价7.02；最高价7.03；最低价6.83；收盘价6.96；成交量912684；按开盘价计算当日下跌0.85%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,generated_ohlcv_summary,0,1,0,万科; 日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充
